collision_index,severe_or_fatal,fatal,number_of_casualties,vulnerable_casualties,number_of_vehicles,speed_limit,rural,darkness,adverse_weather,wet_or_icy,junction_present,weekend,road_type_label,light_label,weather_label,surface_label,area_label,longitude,latitude
2023010474234,0,0,1,0,2,30,0,1,0,1,1,0,Dual carriageway,Darkness - lights lit,Unknown,Wet or damp,Urban,0.179404,51.478649
2023010474239,0,0,1,0,2,30,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.344066,51.589111
2023010474243,0,0,1,1,2,20,0,1,1,0,0,0,Single carriageway,Darkness - lights lit,Fog or mist,Dry,Urban,-0.057504,51.562236
2023010474252,0,0,1,1,2,20,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.131758,51.483463
2023010474294,0,0,1,0,2,20,0,0,1,0,1,0,Dual carriageway,Daylight,Other,Dry,Urban,-0.053518,51.484591
2023010474328,0,0,1,0,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.034033,51.679827
2023010474338,0,0,1,0,2,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.113948,51.465166
2023010474373,0,0,1,0,2,20,0,0,0,0,0,0,Unknown,Daylight,Fine no high winds,Dry,Urban,-0.315611,51.536074
2023010474382,0,0,1,1,1,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.118507,51.514626
2023010474385,1,0,1,1,1,20,0,1,0,1,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.17854,51.487391
2023010474398,0,0,1,1,3,20,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.111418,51.496446
2023010474400,1,0,1,0,2,20,0,1,0,0,1,0,Slip road,Darkness - lights unlit,Fine no high winds,Dry,Urban,0.198143,51.516412
2023010474405,0,0,2,0,2,40,1,1,1,1,1,0,Single carriageway,Darkness - no lighting,Raining no high winds,Wet or damp,Rural,0.139504,51.352215
2023010474406,0,0,3,0,2,40,0,0,0,0,1,0,Dual carriageway,Daylight,Fine no high winds,Dry,Urban,-0.208391,51.551131
2023010474407,0,0,1,0,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.250559,51.594921
2023010474416,0,0,1,0,2,40,0,0,0,0,0,0,Dual carriageway,Daylight,Fine no high winds,Dry,Urban,0.002877,51.514316
2023010474427,0,0,1,0,2,30,0,1,0,0,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,0.03748,51.542029
2023010474432,0,0,1,0,2,20,0,1,0,0,1,1,Unknown,Darkness - lights lit,Fine no high winds,Dry,Urban,-0.145072,51.412309
2023010474439,1,0,2,0,2,30,0,1,0,0,1,0,Dual carriageway,Darkness - lights lit,Fine no high winds,Dry,Urban,0.088108,51.543476
2023010474444,0,0,1,0,3,50,1,0,0,0,0,0,Dual carriageway,Daylight,Fine no high winds,Dry,Rural,0.12573,51.502819
2023010474445,0,0,1,0,2,30,0,1,0,1,1,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.175735,51.632935
2023010474454,0,0,1,0,2,20,0,1,0,1,0,0,Slip road,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,0.017269,51.486425
2023010474461,0,0,1,1,1,30,0,0,1,1,1,0,Single carriageway,Daylight,Other,Wet or damp,Urban,-0.458682,51.526046
2023010474469,0,0,1,0,2,20,0,1,1,1,0,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.114424,51.464103
2023010474509,0,0,1,0,2,30,0,1,1,1,1,0,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,0.20234,51.587251
2023010474512,0,0,1,1,1,20,0,0,1,1,0,0,Single carriageway,Daylight,Other,Wet or damp,Urban,-0.010301,51.577021
2023010474524,0,0,1,0,2,30,0,0,0,1,1,1,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,0.1127,51.400796
2023010474526,0,0,1,0,2,20,0,0,0,0,0,1,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.270846,51.492916
2023010474528,0,0,1,0,2,20,0,1,1,0,1,1,Single carriageway,Darkness - lights lit,Other,Unknown,Urban,-0.131339,51.425697
2023010474558,0,0,4,0,2,20,0,0,0,0,1,1,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.031313,51.611439
2023010474559,0,0,1,0,3,20,0,0,1,1,1,1,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.296439,51.512768
2023010474565,0,0,1,0,2,30,0,1,1,1,1,1,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.042191,51.510625
2023010474573,0,0,1,0,2,30,0,1,1,1,1,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,0.220178,51.562868
2023010474604,1,0,1,1,1,30,0,1,1,1,1,1,Roundabout,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.482405,51.544843
2023010474619,0,0,1,0,2,30,0,1,0,1,0,1,Single carriageway,Darkness - lights unlit,Fine no high winds,Wet or damp,Urban,0.004882,51.528786
2023010474634,0,0,3,0,2,30,0,1,1,1,1,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.077436,51.522719
2023010474638,0,0,1,1,2,20,0,0,0,0,1,1,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.210354,51.468349
2023010474642,0,0,1,0,2,20,0,1,1,1,1,1,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.157149,51.510995
2023010474662,1,1,1,1,4,70,1,1,1,1,0,1,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Rural,0.184046,51.512188
2023010474663,0,0,1,0,2,30,0,0,1,1,1,1,Roundabout,Daylight,Raining no high winds,Wet or damp,Urban,-0.013661,51.632328
2023010474684,0,0,1,0,2,20,0,0,1,1,0,1,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.172619,51.441653
2023010474705,0,0,1,0,2,20,0,0,1,1,0,1,Single carriageway,Daylight,Other,Wet or damp,Urban,-0.318407,51.601038
2023010474711,0,0,1,1,2,20,0,0,0,0,1,1,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.186175,51.4801
2023010474715,0,0,1,0,2,20,0,1,0,1,1,1,Dual carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.320726,51.596494
2023010474725,0,0,2,0,2,30,0,1,1,1,0,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,0.033908,51.474843
2023010474736,0,0,1,0,1,20,0,0,0,1,1,1,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.070485,51.588574
2023010474745,0,0,1,1,1,30,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.293892,51.62098
2023010474763,0,0,1,0,1,20,0,1,1,1,0,1,Dual carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.072797,51.576571
2023010474773,0,0,1,0,2,20,0,1,0,1,1,1,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.055426,51.546699
2023010474776,0,0,1,0,2,20,0,1,0,0,1,1,Single carriageway,Darkness - lighting unknown,Unknown,Unknown,Urban,-0.127227,51.418257
2023010474786,0,0,1,0,1,20,0,1,1,1,1,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,-0.114167,51.531408
2023010474816,0,0,1,0,2,30,0,0,0,0,0,0,Unknown,Daylight,Fine no high winds,Dry,Urban,-0.068082,51.395535
2023010474817,0,0,1,0,2,30,0,1,0,0,0,1,Unknown,Darkness - lights lit,Unknown,Unknown,Urban,0.061877,51.560127
2023010474827,0,0,1,0,2,20,0,0,0,0,0,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.148623,51.558827
2023010474831,1,1,1,0,2,30,0,0,0,1,1,0,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.038662,51.401449
2023010474835,0,0,1,1,1,20,0,0,0,1,0,0,Dual carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.052723,51.520486
2023010474839,0,0,2,0,2,20,0,0,1,1,1,0,Single carriageway,Daylight,Raining no high winds,Wet or damp,Urban,-0.007163,51.473489
2023010474850,0,0,1,0,2,20,0,1,0,1,0,0,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.151821,51.444618
2023010474854,0,0,1,1,2,20,0,1,1,0,0,0,Single carriageway,Darkness - lights lit,Raining no high winds,Dry,Urban,-0.128419,51.510855
2023010474870,0,0,1,1,2,20,0,0,0,0,0,0,Dual carriageway,Daylight,Fine no high winds,Dry,Urban,-0.007217,51.533993
2023010474895,0,0,1,0,2,30,0,0,0,1,1,1,Single carriageway,Daylight,Fine no high winds,Wet or damp,Urban,-0.160659,51.435252
2023010474897,0,0,1,0,2,30,0,1,0,1,1,1,Single carriageway,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,-0.102318,51.39774
2023010474899,0,0,2,0,2,30,0,0,0,0,1,0,Single carriageway,Daylight,Fine no high winds,Dry,Urban,-0.316024,51.582687
2023010474910,0,0,1,1,1,20,0,0,0,1,0,0,Roundabout,Daylight,Fine no high winds,Wet or damp,Urban,-0.274055,51.508259
